worker_id,skill,skill_match,distance,availability,experience,rating,workload,experience_score,rating_score,distance_score,workload_score,match_score,selected
1,Cleaning,1,13.94,1,6,4.3,2,0.3,0.86,0.30300000000000005,0.8,75.66,1
2,Painting,0,5.42,1,6,3.2,0,0.3,0.64,0.729,1.0,48.980000000000004,1
3,Carpentry,1,6.5,1,16,4.3,6,0.8,0.86,0.675,0.4,84.10000000000001,1
4,Painting,1,12.47,1,4,5.0,3,0.2,1.0,0.37649999999999995,0.7,76.52999999999999,1
5,Painting,0,18.01,0,11,3.1,0,0.55,0.62,0.09949999999999992,1.0,23.69,0
6,Electrical,1,16.29,1,9,5.0,7,0.45,1.0,0.1855,0.30000000000000004,71.21000000000001,1
7,Carpentry,1,11.87,0,3,3.8,5,0.15,0.76,0.4065000000000001,0.5,57.230000000000004,1
8,Carpentry,0,14.74,1,19,4.7,5,0.95,0.9400000000000001,0.263,0.5,44.16,1
9,Carpentry,1,7.61,1,8,4.6,1,0.4,0.9199999999999999,0.6194999999999999,0.9,84.59,1
10,Painting,1,13.0,0,5,4.1,0,0.25,0.82,0.35,1.0,62.7,0
11,Cleaning,0,9.59,1,4,4.5,1,0.2,0.9,0.5205,0.9,45.410000000000004,0
12,Carpentry,1,4.2,1,6,4.8,3,0.3,0.96,0.79,0.7,85.39999999999999,0
13,Gardening,1,14.18,1,2,3.8,1,0.1,0.76,0.29100000000000004,0.9,73.42,0
14,Painting,1,11.35,1,20,3.7,0,1.0,0.74,0.4325,1.0,86.05,1
15,Electrical,1,7.49,1,11,4.3,6,0.55,0.86,0.6255,0.4,80.61,1
16,Cleaning,1,18.27,0,4,4.6,10,0.2,0.9199999999999999,0.08650000000000002,0.0,47.92999999999999,0
17,Gardening,1,0.91,1,15,4.5,10,0.75,0.9,0.9545,0.0,85.59,1
18,Gardening,0,6.66,0,6,4.6,7,0.3,0.9199999999999999,0.667,0.30000000000000004,28.540000000000003,0
19,Electrical,1,1.61,1,17,3.9,5,0.85,0.78,0.9195,0.5,89.69,1
20,Cleaning,1,15.45,1,6,4.6,3,0.3,0.9199999999999999,0.22750000000000004,0.7,73.75,1
21,Painting,0,14.19,1,19,3.2,5,0.95,0.64,0.2905,0.5,41.71,1
22,Plumbing,1,6.96,1,2,4.1,2,0.1,0.82,0.652,0.8,80.24,1
23,Cleaning,1,13.68,0,15,3.0,7,0.75,0.6,0.31600000000000006,0.30000000000000004,57.82000000000001,1
